doc_id,source,target,p_edge
doc_0000,adverse_childhood_experiences,career_stress,0.000000
doc_0000,adverse_childhood_experiences,depression,0.999813
doc_0000,adverse_childhood_experiences,eating_habits,0.000000
doc_0000,adverse_childhood_experiences,emotional_dysregulation,0.999995
doc_0000,adverse_childhood_experiences,financial_stress,0.000000
doc_0000,adverse_childhood_experiences,social_isolation,0.000000
doc_0000,career_stress,adverse_childhood_experiences,0.000000
doc_0000,career_stress,depression,0.000000
doc_0000,career_stress,eating_habits,0.000000
doc_0000,career_stress,emotional_dysregulation,0.854029
doc_0000,career_stress,financial_stress,0.000000
doc_0000,career_stress,social_isolation,0.974823
doc_0000,depression,adverse_childhood_experiences,0.000000
doc_0000,depression,career_stress,0.000000
doc_0000,depression,eating_habits,0.000000
doc_0000,depression,emotional_dysregulation,0.000000
doc_0000,depression,financial_stress,0.000000
doc_0000,depression,social_isolation,0.000000
doc_0000,eating_habits,adverse_childhood_experiences,0.000000
doc_0000,eating_habits,career_stress,0.000000
doc_0000,eating_habits,depression,0.000000
doc_0000,eating_habits,emotional_dysregulation,0.000000
doc_0000,eating_habits,financial_stress,0.000000
doc_0000,eating_habits,social_isolation,0.000000
doc_0000,emotional_dysregulation,adverse_childhood_experiences,0.000000
doc_0000,emotional_dysregulation,career_stress,0.000000
doc_0000,emotional_dysregulation,depression,0.000000
doc_0000,emotional_dysregulation,eating_habits,0.000000
doc_0000,emotional_dysregulation,financial_stress,0.000000
doc_0000,emotional_dysregulation,social_isolation,0.000000
doc_0000,financial_stress,adverse_childhood_experiences,0.000000
doc_0000,financial_stress,career_stress,0.000000
doc_0000,financial_stress,depression,0.000000
doc_0000,financial_stress,eating_habits,0.000000
doc_0000,financial_stress,emotional_dysregulation,0.247797
doc_0000,financial_stress,social_isolation,0.967542
doc_0000,social_isolation,adverse_childhood_experiences,0.000000
doc_0000,social_isolation,career_stress,0.000000
doc_0000,social_isolation,depression,0.000000
doc_0000,social_isolation,eating_habits,0.000000
doc_0000,social_isolation,emotional_dysregulation,0.000000
doc_0000,social_isolation,financial_stress,0.000000
doc_0001,adverse_childhood_experiences,depression,0.000000
doc_0001,adverse_childhood_experiences,emotional_instability,0.999278
doc_0001,adverse_childhood_experiences,exercise_routine,0.000000
doc_0001,adverse_childhood_experiences,mental_rumination,0.000000
doc_0001,adverse_childhood_experiences,social_isolation,0.000000
doc_0001,adverse_childhood_experiences,stress,0.748981
doc_0001,depression,adverse_childhood_experiences,0.000000
doc_0001,depression,emotional_instability,0.000000
doc_0001,depression,exercise_routine,0.000000
doc_0001,depression,mental_rumination,0.000000
doc_0001,depression,social_isolation,0.000000
doc_0001,depression,stress,0.000000
doc_0001,emotional_instability,adverse_childhood_experiences,0.000000
doc_0001,emotional_instability,depression,0.000000
doc_0001,emotional_instability,exercise_routine,0.000000
doc_0001,emotional_instability,mental_rumination,0.211057
doc_0001,emotional_instability,social_isolation,0.999999
doc_0001,emotional_instability,stress,0.000000
doc_0001,exercise_routine,adverse_childhood_experiences,0.000000
doc_0001,exercise_routine,depression,0.000000
doc_0001,exercise_routine,emotional_instability,0.000000
doc_0001,exercise_routine,mental_rumination,0.000000
doc_0001,exercise_routine,social_isolation,0.000000
doc_0001,exercise_routine,stress,0.000000
doc_0001,mental_rumination,adverse_childhood_experiences,0.000000
doc_0001,mental_rumination,depression,0.660151
doc_0001,mental_rumination,emotional_instability,0.000000
doc_0001,mental_rumination,exercise_routine,0.000000
doc_0001,mental_rumination,social_isolation,0.000000
doc_0001,mental_rumination,stress,0.000000
doc_0001,social_isolation,adverse_childhood_experiences,0.000000
doc_0001,social_isolation,depression,0.000000
doc_0001,social_isolation,emotional_instability,0.000000
doc_0001,social_isolation,exercise_routine,0.000000
doc_0001,social_isolation,mental_rumination,0.999943
doc_0001,social_isolation,stress,0.000000
doc_0001,stress,adverse_childhood_experiences,0.000000
doc_0001,stress,depression,0.000000
doc_0001,stress,emotional_instability,0.999998
doc_0001,stress,exercise_routine,0.000000
doc_0001,stress,mental_rumination,0.000000
doc_0001,stress,social_isolation,0.000000
doc_0002,depression,geographic_relocation,0.000000
doc_0002,geographic_relocation,depression,0.000000
doc_0003,career_progress,engagement_in_hobbies,0.000000
doc_0003,career_progress,high_alert_state,0.000000
doc_0003,career_progress,physical_symptoms,0.000000
doc_0003,career_progress,stress,0.000000
doc_0003,engagement_in_hobbies,career_progress,0.000000
doc_0003,engagement_in_hobbies,high_alert_state,0.000000
doc_0003,engagement_in_hobbies,physical_symptoms,0.000000
doc_0003,engagement_in_hobbies,stress,0.000000
doc_0003,high_alert_state,career_progress,0.000000
doc_0003,high_alert_state,engagement_in_hobbies,0.000000
doc_0003,high_alert_state,physical_symptoms,0.000000
doc_0003,high_alert_state,stress,0.000000
doc_0003,physical_symptoms,career_progress,0.000000
doc_0003,physical_symptoms,engagement_in_hobbies,0.000000
doc_0003,physical_symptoms,high_alert_state,0.000000
doc_0003,physical_symptoms,stress,0.000000
doc_0003,stress,career_progress,0.000000
doc_0003,stress,engagement_in_hobbies,0.000000
doc_0003,stress,high_alert_state,0.956242
doc_0003,stress,physical_symptoms,0.990838
doc_0004,career_stress,chronic_stress,0.972290
doc_0004,career_stress,depression,0.000000
doc_0004,career_stress,emotional_dysregulation,0.000006
doc_0004,career_stress,financial_stress,0.000000
doc_0004,career_stress,mental_repetition,0.000000
doc_0004,chronic_stress,career_stress,0.000000
doc_0004,chronic_stress,depression,0.000000
doc_0004,chronic_stress,emotional_dysregulation,0.976132
doc_0004,chronic_stress,financial_stress,0.000000
doc_0004,chronic_stress,mental_repetition,0.000000
doc_0004,depression,career_stress,0.000000
doc_0004,depression,chronic_stress,0.000000
doc_0004,depression,emotional_dysregulation,0.000000
doc_0004,depression,financial_stress,0.000000
doc_0004,depression,mental_repetition,0.000000
doc_0004,emotional_dysregulation,career_stress,0.000000
doc_0004,emotional_dysregulation,chronic_stress,0.000000
doc_0004,emotional_dysregulation,depression,0.000000
doc_0004,emotional_dysregulation,financial_stress,0.000000
doc_0004,emotional_dysregulation,mental_repetition,0.999965
doc_0004,financial_stress,career_stress,0.000000
doc_0004,financial_stress,chronic_stress,0.947230
doc_0004,financial_stress,depression,0.000000
doc_0004,financial_stress,emotional_dysregulation,0.719907
doc_0004,financial_stress,mental_repetition,0.000000
doc_0004,mental_repetition,career_stress,0.000000
doc_0004,mental_repetition,chronic_stress,0.000000
doc_0004,mental_repetition,depression,0.999952
