source,target,p_edge,edge_class
adult_pressure,adverse_childhood_experiences,0.000000,low
adult_pressure,adverse_environmental_factors,0.000000,low
adult_pressure,adversity,0.000000,low
adult_pressure,analytical_thinking,0.000000,low
adult_pressure,anger,0.000000,low
adult_pressure,anxiety,0.000000,low
adult_pressure,anxiety_aftermath,0.000000,low
adult_pressure,anxiety_in_adult_relationships,0.000000,low
adult_pressure,atmosphere_management,0.000000,low
adult_pressure,avoidance,0.000000,low
adult_pressure,basic_security,0.000000,low
adult_pressure,behavioral_adjustment,0.000000,low
adult_pressure,budget_management,0.000000,low
adult_pressure,burden_absorption,0.000000,low
adult_pressure,burnout,0.000000,low
adult_pressure,capacity_to_engage,0.000000,low
adult_pressure,career_demands,0.000000,low
adult_pressure,career_progress,0.000000,low
adult_pressure,career_stress,0.000000,low
adult_pressure,chaos_at_home,0.000000,low
adult_pressure,chronic_stress,0.000000,low
adult_pressure,conflict_avoidance,0.000000,low
adult_pressure,contentment,0.000000,low
adult_pressure,control,0.000000,low
adult_pressure,coping_mechanism,0.000000,low
adult_pressure,creative_activity,0.000000,low
adult_pressure,crisis_anticipation,0.000000,low
adult_pressure,crisis_management,0.000000,low
adult_pressure,daily_grind,0.000000,low
adult_pressure,daily_life_balance,0.000000,low
adult_pressure,daily_routine,0.000000,low
adult_pressure,defensiveness,0.000000,low
adult_pressure,demands,0.000000,low
adult_pressure,demands_persistence,0.000000,low
adult_pressure,depression,0.000000,low
adult_pressure,desire_for_safety,0.000000,low
adult_pressure,desire_to_engage,0.000000,low
adult_pressure,dietary_changes,0.000000,low
adult_pressure,difficulty_functioning,0.000000,low
adult_pressure,difficulty_pivoting_attention,0.000000,low
adult_pressure,difficulty_self_regulation,0.000000,low
adult_pressure,disconnection_from_past_self,0.000000,low
adult_pressure,disconnection_from_world,0.000000,low
adult_pressure,distraction,0.000000,low
adult_pressure,eating_habits,0.000000,low
adult_pressure,embarrassment,0.000000,low
adult_pressure,emotional_bracing,0.000000,low
adult_pressure,emotional_breakdown,0.000000,low
