var_i,var_j,p_i_to_j,p_j_to_i,class_i_to_j,class_j_to_i,pair_relation
adult_pressure,adverse_childhood_experiences,0.000000,0.002704,low,low,no_supported_connection
adult_pressure,adverse_environmental_factors,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,adversity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,analytical_thinking,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,anger,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,anxiety,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,anxiety_aftermath,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,anxiety_in_adult_relationships,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,atmosphere_management,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,avoidance,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,basic_security,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,behavioral_adjustment,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,budget_management,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,burden_absorption,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,burnout,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,capacity_to_engage,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,career_demands,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,career_progress,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,career_stress,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,chaos_at_home,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,chronic_stress,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,conflict_avoidance,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,contentment,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,control,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,coping_mechanism,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,creative_activity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,crisis_anticipation,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,crisis_management,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,daily_grind,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,daily_life_balance,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,daily_routine,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,defensiveness,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,demands,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,demands_persistence,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,depression,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,desire_for_safety,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,desire_to_engage,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,dietary_changes,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,difficulty_functioning,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,difficulty_pivoting_attention,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,difficulty_self_regulation,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,disconnection_from_past_self,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,disconnection_from_world,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,distraction,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,eating_habits,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,embarrassment,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_bracing,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_breakdown,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_capacity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_carryover,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_cycle,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_disconnection,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_distress,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_dysregulation,0.001660,0.000000,low,low,no_supported_connection
adult_pressure,emotional_emptiness,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_energy,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_exhaustion,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_guardedness,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_heaviness,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_insecurity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_instability,0.003352,0.000000,low,low,no_supported_connection
adult_pressure,emotional_intensity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_management,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_overwhelm,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_persistence,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_protection,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_reactivity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_recovery,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_resilience,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_safety,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_scarring,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_shutdown,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_stability,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_struggle,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_suppression,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_tension,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_triggers,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,emotional_unsettledness,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,energy_depletion,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,energy_expenditure,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,energy_level,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,engagement_effort_aversion,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,engagement_in_hobbies,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,engagement_with_world,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,environmental_change,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,environmental_control,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,environmental_disruption,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,environmental_instability,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,environmental_safety,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,environmental_scanning,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,environmental_stress,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,environmental_unsafety,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,exercise_routine,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,exhaustion,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,external_demands,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,external_pressure,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,family_support,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,fear,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,fear_of_abandonment,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,fear_of_chaos,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,fear_of_failure,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,fear_of_triggering_others,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,fear_of_vulnerability,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,feeling_trapped,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,feeling_unsafe,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,feeling_unsupported,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,financial_stress,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,focus,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,functional_impairment,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,gardening_hobby,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,geographic_location,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,geographic_relocation,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,health_consciousness,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,high_alert_state,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,home_environmental_stress,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,hopelessness,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,impulsivity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,independent_living,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,insecurity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,instability,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,instability_in_early_years,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,internal_alarm_management,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,internal_conflict,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,internal_instability,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,internal_map,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,internal_momentum,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,internal_noise,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,internal_restlessness,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,internal_strain,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,internalized_negativity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,internalized_threat_response,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,intrusive_thoughts,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,lack_of_control,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,lack_of_peace,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,lack_of_purpose,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,lack_of_safety,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,life_changes,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,life_demand_balance,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,life_demands,0.000000,0.000000,low,low,no_supported_connection
